Acx,Acy,Acz,Gx,Gy,Gz
-1003.8458783475496,-513.3459586531472,-4063.3717117393016,-1140.996944193761,816.4619143475389,188.76915598618282
-1031.5296425980184,-535.5594898240744,-4037.84489982341,-1162.5179273570234,793.1867990397592,219.17550075103009
-1061.5046681721574,-557.7181308693541,-4007.6218809024263,-1184.2893587004792,768.074879675509,250.800748195428
-1091.4796937462963,-579.8767719146339,-3977.3988619814418,-1206.060790043935,742.9629603112587,282.425995639826
-1122.6346987405063,-600.7916961042616,-3941.9399281908254,-1226.5811857307476,719.8234789420702,315.6932092985716
-1153.7897037347166,-621.7066202938894,-3906.4809944002113,-1247.1015814175598,696.6839975728816,348.9604229573172
-1215.4679710979356,-659.2541992261597,-3824.4400793655627,-1281.6006150200951,660.4833736571501,419.6908171491794
-1244.2044681790626,-675.4426021639124,-3778.0079766922468,-1293.1707728291808,649.4444287311237,457.53553748051314
-1272.9409652601892,-691.631005101665,-3731.5758740189294,-1304.7409306382667,638.4054838050973,495.38025781184683
-1297.6600847249103,-705.322444066397,-3680.581783576654,-1308.1036088237495,635.3056342415699,535.8923051295343
-1322.379204189632,-719.013883031129,-3629.587693134377,-1311.4662870092325,632.2057846780424,576.4043524472218
-1360.1370640893351,-742.6055081365913,-3521.7975334659527,-1297.2375293246198,641.5000997148304,662.5426373945753
-1371.6907493381527,-753.5034150053606,-3467.4170789502973,-1278.0583254623516,652.8243116409308,707.6972858323361
-1383.2444345869708,-764.4013218741297,-3413.036624434641,-1258.879121600083,664.1485235670312,752.8519342700965
-1386.5528560473142,-775.6039941267965,-3361.096933950615,-1227.1111809560048,680.4440060768833,799.2555197454255
-1389.8612775076574,-786.8066663794632,-3309.1572434665904,-1195.3432403119266,696.7394885867351,845.6591052207544
-1384.7300857938917,-799.4924221375262,-3262.6892791032146,-1151.7772491786093,715.8992898038975,892.1726406308765
-1379.5988940801258,-812.1781778955894,-3216.22131473984,-1108.211258045292,735.0590910210602,938.6861760409984
-1353.628224878388,-842.3788821599705,-3139.5026985276595,-1001.7868551717957,774.4785767568413,1029.2921450746087
-1334.0809840167708,-860.4061858854104,-3111.001396409134,-942.2468511047873,792.3646526351221,1072.0409625028149
-1314.5337431551538,-878.4334896108505,-3082.500094290609,-882.706847037779,810.2507285134029,1114.7897799310213
-1290.2285891106735,-899.3915576279048,-3064.338065603697,-820.8991477369998,824.0023388350166,1153.7841665238714
-1265.9234350661936,-920.3496256449589,-3046.176036916785,-759.0914484362207,837.7539491566303,1192.7785531167208
-1238.8911573720593,-943.743060168111,-3037.391768874127,-699.2232626592953,845.2496965954045,1227.1046216905065
-1211.858879677925,-967.1364946912632,-3028.6075008314674,-639.3550768823702,852.7454440341787,1261.430690264292
-1156.2113709680216,-1017.0120272540573,-3025.1591347396798,-530.8798305021603,851.675066315147,1319.67708602987
-1129.1404430363118,-1042.381763418975,-3027.172403571958,-484.8385642448517,841.8738955466156,1343.4691558065726
-1102.0695151046023,-1067.7514995838928,-3029.1856724042373,-438.79729798754295,832.0727247780843,1367.2612255832753
-1076.6923335350778,-1092.4272540336067,-3031.171687787828,-401.95795530491273,812.5203332834012,1385.9591848998566
-1051.3151519655523,-1117.1030084833203,-3033.157703171419,-365.11861262228257,792.9679417887178,1404.6571442164384
-1004.4489696933856,-1163.1837789341037,-3030.0095646949267,-308.3962655273908,735.2491078497787,1432.8753200012518
-982.5708284220308,-1183.9810186891793,-3022.2305754752415,-286.2000517358995,698.5452182379687,1443.038582479854
-960.6926871506756,-1204.7782584442552,-3014.4515862555572,-264.0038379444082,661.841328626159,1453.2018449584561
-939.513303052506,-1223.1303570531086,-2999.218415745455,-244.50217149215786,619.7152031914725,1460.0642190768972
-918.3339189543362,-1241.4824556619615,-2983.985245235353,-225.00050503990758,577.5890777567861,1466.9265931953382
-875.227307375586,-1273.6735684540565,-2939.4116277032213,-183.43032745654247,488.77681713138463,1475.1135427342824
-852.2805700345856,-1287.997699503916,-2912.0664636881047,-157.623473369738,445.5380716127783,1476.7828888248052
-829.333832693585,-1302.3218305537753,-2884.7212996729872,-131.81661928293354,402.29932609417193,1478.452234915328
-804.2553971044424,-1315.5080745407674,-2855.549318848245,-98.19258232346736,363.4423989322976,1477.8299400660758
-779.1769615152997,-1328.6943185277596,-2826.3773380235034,-64.56854536400121,324.58547177042334,1477.207645216823
-751.6484839609163,-1341.3577270415406,-2799.2520585962898,-21.799544587258843,292.52297247559665,1474.2349257569956
-724.1200064065329,-1354.0211355553204,-2772.126779169077,20.969456189483513,260.46047318076995,1471.2622062971673
-664.4170847578782,-1379.1987273377426,-2729.5726533929987,124.02665110880085,212.1786395003181,1460.2242273455215
-632.7326137644177,-1391.8956925472355,-2717.180362676795,182.2958986161689,195.5164323895743,1451.8951165949586
-601.048142770957,-1404.5926577567286,-2704.7880719605905,240.56514612353703,178.85422527883048,1443.5660058443952
-568.225028675339,-1417.2845006566379,-2703.016369905545,302.3088247772133,167.65584741484747,1432.1602966463956
-535.4019145797209,-1429.9763435565478,-2701.244667850501,364.05250343088966,156.4574695508644,1420.7545874483967
-468.9059173355562,-1454.6093408975892,-2719.261832049677,486.6901841994024,138.43520743372147,1391.3475595165658
-435.8083753003989,-1466.017952679876,-2737.6682685456312,543.7709200741815,127.65888739432724,1373.194807617208
-402.7108332652415,-1477.4265644621635,-2756.0747050415853,600.8516559489607,116.88256735493306,1355.0420557178504
-370.11345064135554,-1487.3561347808857,-2781.282887838553,650.6488685200802,100.47336470394809,1333.3621886157155
-337.51606801746937,-1497.2857050996079,-2806.4910706355213,700.4460810911997,84.06416205296317,1311.6823215135812
-305.54781431713366,-1505.2475640700345,-2835.2393077001457,741.1948652795547,59.027508754436816,1286.463454606483
-273.57956061679783,-1513.2094230404605,-2863.987544764771,781.94364946791,33.990855455910484,1261.244587699385
-210.8997966766808,-1524.5636865769075,-2922.0092037034424,844.8720500953305,-36.273963165365245,1203.8237197293884
-180.20303613619458,-1527.8479780929465,-2948.605591710988,868.2882119729384,-81.06960105386528,1171.733150831662
-149.5062755957083,-1531.1322696089853,-2975.2019797185326,891.7043738505463,-125.86523894236531,1139.6425819339356
-119.63338539821189,-1532.1036609318055,-2997.7661351916854,909.4438473127216,-177.9850851921879,1104.3680268731682
-89.76049520071541,-1533.0750522546255,-3020.330290664836,927.1833207748967,-230.10493144201058,1069.093471812401
-32.56249679341197,-1530.787499768039,-3056.7072720771007,957.2388285495626,-341.25778819282675,992.8049781524027
-5.971631700789995,-1527.7453919440577,-3071.390772181803,972.4859520294427,-395.5885611239842,952.2586285781427
20.619233391831976,-1524.703284120076,-3086.0742722865057,987.7330755093228,-449.9193340551416,911.712279003883
44.274343703970565,-1519.8994380517215,-3099.0298389646405,1005.5130893407123,-498.3403285102332,869.4058034774404
67.92945401610915,-1515.0955919833675,-3111.9854056427753,1023.2931031721016,-546.7613229653248,827.0993279509978
87.71202307837324,-1508.5138557376508,-3125.4205893209937,1044.8780139457904,-585.5191377606377,783.8402892516466
107.49459214063732,-1501.932119491934,-3138.855772999212,1066.4629247194791,-624.2769525559507,740.5812505522954
137.8963761213536,-1484.8244368465882,-3170.896510871089,1117.331482400391,-678.1625498579183,654.0057117089087
148.26371771580074,-1473.956217283038,-3191.034854314293,1145.509504582682,-693.104887605252,611.6384278165749
158.63105931024785,-1463.0879977194877,-3211.173197757497,1173.687526764973,-708.0472253525853,569.2711439242411
164.5286540644091,-1449.494330219253,-3236.0791532711933,1202.66405877244,-712.7344390333722,528.6770804998831
170.42624881857031,-1435.9006627190186,-3260.985108784889,1231.6405907799076,-717.4216527141591,488.0830170755252
175.31255513269522,-1402.52221332546,-3319.681853390765,1286.5526098916216,-712.7908638458214,411.6906796519324
